"cycle","state","modeldate","candidate_name","startdate","enddate","pollster","samplesize","population","weight","influence","pct","house_adjusted_pct","trend_and_house_adjusted_pct","tracking","poll_id","question_id"
2020,"PA",44138,"josephrbidenjr","44095",44100,"abcnewsthewashingtonpost",568,"lv",1.245238,0,54,53.25167,53.8772,NA,70024,130435
2020,"NC",44138,"josephrbidenjr","44116",44121,"abcnewsthewashingtonpost",646,"lv",1.407856,0.4391763,49.5,49.22849,49.18126,NA,71441,133793
2020,"PA",44138,"josephrbidenjr","44069",44075,"algresearch",500,"lv",0.6473723,0,50,49.87816,51.00852,NA,70092,130584
2020,"NC",44138,"josephrbidenjr","44096",44102,"algresearch",822,"v",0.6241342,0,50,48.70365,49.34225,NA,70106,130600
2020,"PA",44138,"josephrbidenjr","44104",44112,"baldwinwallaceuniversity",1140,"lv",0.791219,0.1186829,49.6,50.42418,99,NA,70721,132290
2020,"PA",44138,"josephrbidenjr","44082",44096,"baldwinwallaceuniversity",1012,"lv",0.7620288,0,47.3,48.12308,49.02236,NA,69702,129962
2020,"PA",44138,"josephrbidenjr","44071",44082,"benensonstrategygroupgsstrategygroup",1600,"lv",2.26868,0,49,49.23656,50.30337,NA,68581,128408
2020,"NC",44138,"josephrbidenjr","44071",44082,"benensonstrategygroupgsstrategygroup",1600,"lv",2.26868,0,48,47.91197,49.01786,NA,68576,128402
2020,"NC",44138,"josephrbidenjr","44034",44036,"cardinalpointanalyticscardinalgps",735,"lv",0.7352689,0,46.8,47.41267,48.60242,NA,67834,126975
2020,"NC",44138,"josephrbidenjr","44025",44027,"cardinalpointanalyticscardinalgps",547,"lv",0.5816114,0,47.7,48.31337,49.52461,NA,67586,126453
2020,"PA",44138,"josephrbidenjr","44120",44123,"changeresearch",574,"lv",0.5338545,0.2114914,49,49.48966,49.41466,NA,71523,133961
2020,"PA",44138,"josephrbidenjr","44106",44108,"changeresearch",468,"lv",0.547435,0.0533378,50,50.48972,50.62025,NA,70608,132013
2020,"PA",44138,"josephrbidenjr","44092",44094,"changeresearch",579,"lv",0.5571989,0,49,49.48966,50.28988,NA,69685,129907
2020,"PA",44138,"josephrbidenjr","44078",44080,"changeresearch",829,"lv",0.7047589,0,50,50.48972,51.55084,NA,68537,128312
2020,"PA",44138,"josephrbidenjr","44064",44066,"changeresearch",984,"lv",0.8284237,0,49,49.48966,50.62167,NA,68208,127745
2020,"PA",44138,"josephrbidenjr","44050",44052,"changeresearch",456,"lv",0.5331308,0,48,48.48935,49.51677,NA,68015,127366
2020,"PA",44138,"josephrbidenjr","44036",44038,"changeresearch",382,"lv",0.4084386,0,48,48.48935,49.68142,NA,67812,126906
2020,"PA",44138,"josephrbidenjr","44022",44024,"changeresearch",743,"lv",0.6155448,0,50,50.48972,51.77295,NA,67091,125354
2020,"NC",44138,"josephrbidenjr","44120",44123,"changeresearch",521,"lv",0.5323088,0.1919713,50,49.92628,49.85628,NA,71522,133960
2020,"NC",44138,"josephrbidenjr","44106",44108,"changeresearch",396,"lv",0.4976829,0.0064367,49,48.9263,49.05155,NA,70607,132012
2020,"NC",44138,"josephrbidenjr","44092",44094,"changeresearch",579,"lv",0.5966712,0,48,47.92636,48.77554,NA,69684,129906
2020,"NC",44138,"josephrbidenjr","44078",44080,"changeresearch",442,"lv",0.5026088,0,49,48.9263,50.028,NA,68536,128311
2020,"NC",44138,"josephrbidenjr","44064",44066,"changeresearch",560,"lv",0.6481425,0,48,47.92636,49.05305,NA,68207,127744
2020,"NC",44138,"josephrbidenjr","44050",44052,"changeresearch",491,"lv",0.5680547,0,47,46.92645,47.9892,NA,68014,127365
